BiGG	COG_cat	GO	KEGG	best_OG	eggNOG_Desc	eggNOGs	em_evalue	em_score	kingdom	name	nog_dataset	orf	seed_ortho	tax_scope	contig	taxa	nog_phylum	plot_classification
	S		K06876	05EXX|8.78241651999e-184|615.125854492	Deoxyribodipyrimidine photolyase-related protein	00CN9@actNOG,05EXX@bactNOG,COG3046@NOG	7.299999999999997e-166	546.8	bact	BMUL_5845	actNOG	SAMEA2619782_18560_2	525909.Afer_2012	bactNOG[38]	SAMEA2619782_18560	Bacteria	Actinobacteria	monoderm
	S			0J12K|1.65032424728e-88|262.314422607	Inherit from NOG: VSP with INR	0J12K@euNOG,0VGUQ@meNOG,11ZF3@NOG,13VY4@opiNOG	1.1e-70	228.9	euk			SAMEA2619782_1618_3	45351.NEMVEDRAFT_v1g70349-PA	meNOG[21]	SAMEA2619782_1618	Animals		Eukaryotes
FE3abcpp	E	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K02010,K02052	05C53|8.26551742482e-121|407.787902832	Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system (By similarity)	00DCV@actNOG,05C53@bactNOG,COG3842@NOG	3.5e-86	287.1	bact	FBPC	actNOG	SAMEA2619782_13961_4	266117.Rxyl_1173	bactNOG[38]	SAMEA2619782_13961	Bacteria	Actinobacteria	monoderm
	S			05CSB|2.92410024404e-74|252.41973877	rhodopsin	05CSB@bactNOG,0QX9E@gproNOG,11G9N@NOG,1782J@proNOG	9.099999999999998e-112	363.8	bact		proNOG	SAMEA2619782_11308_2	455436.GHTCC_010100003749	bactNOG[38]	SAMEA2619782_11308	Bacteria	Proteobacteria	diderm
	S		K06876	05EXX|5.12041680366e-183|612.669921875	Deoxyribodipyrimidine photolyase-related protein	00CN9@actNOG,05EXX@bactNOG,COG3046@NOG	3.099999999999999e-166	548.0	bact	BMUL_5845	actNOG	SAMEA2619782_1077_31	525909.Afer_2012	bactNOG[38]	SAMEA2619782_1077	Bacteria	Actinobacteria	monoderm
ARGSS	E	GO:0003674,GO:0003824,GO:0004055,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	K01940	05CDH|2.41537760328e-212|709.746520996	Citrulline--aspartate ligase	01QIR@aproNOG,05CDH@bactNOG,16PSZ@proNOG,COG0137@NOG	4.599999999999998e-273	901.3	bact	ARGG	proNOG	SAMEA2619779_1465_11	314254.OA2633_11650	bactNOG[38]	SAMEA2619779_1465	Bacteria	Proteobacteria	diderm
	E		K01687,K13875	0BK35|4.14219285904e-246|820.403381348	Dihydroxy-acid dehydratase	05C01@bactNOG,0BK35@bproNOG,16PQJ@proNOG,COG0129@NOG	1.3999999999999995e-211	691.4	bact		proNOG	SAMEA2619766_9993_7	640511.BC1002_5935	bactNOG[38]	SAMEA2619766_9993	Bacteria	Proteobacteria	diderm
5HBZIDS2,AHMMPS,AHMMPS_1,AMPMS,AMPMS2	H	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009228,GO:0009987,GO:0016020,GO:0018130,GO:0019438,GO:0034641,GO:0040007,GO:0042364,GO:0042723,GO:0042724,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0046483,GO:0071704,GO:0071944,GO:0072527,GO:0072528,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	K03147	05CBF|4.55142208849e-296|986.682678223	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction (By similarity)	01SIR@aproNOG,05CBF@bactNOG,16Q2G@proNOG,COG0422@NOG	5.399999999999998e-262	866.2	bact	THIC	proNOG	SAMEA2619766_913_6	509190.Cseg_1401	bactNOG[38]	SAMEA2619766_913	Bacteria	Proteobacteria	diderm
	L	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008855,GO:0009056,GO:0009057,GO:0009318,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0019439,GO:0032991,GO:0034641,GO:0034655,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:1901360,GO:1901361,GO:1901575	K03601	05DVS|5.55425001501e-147|494.101257324	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)	05DVS@bactNOG,0QINW@gproNOG,16R8T@proNOG,COG1570@NOG	5.499999999999998e-106	351.6	bact	XSEA	proNOG	SAMEA2619766_7695_3	523791.Kkor_1832	bactNOG[38]	SAMEA2619766_7695	Bacteria	Proteobacteria	diderm
	I		K06443	05E6U|6.89296632433e-98|330.845825195	lycopene beta and epsilon cyclase	05E6U@bactNOG,0XQR9@NOG	6.600000000000001e-57	185.3	bact	CRTY	bactNOG	SAMEA2619766_7030_5	796620.VIBC2010_06314	bactNOG[38]	SAMEA2619766_7030	Bacteria	Bacteria	Unclassified_Bact
	E, I	GO:0003674,GO:0003824,GO:0004485,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005759,GO:0006082,GO:0006520,GO:0006551,GO:0006552,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009081,GO:0009083,GO:0009374,GO:0009987,GO:0016020,GO:0016054,GO:0016421,GO:0016874,GO:0016885,GO:0019752,GO:0019842,GO:0019866,GO:0031090,GO:0031406,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032787,GO:0033218,GO:0033293,GO:0034641,GO:0036094,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044710,GO:0044712,GO:0046395,GO:0046483,GO:0051186,GO:0070013,GO:0071704,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1901681	K01968	KOG0238|9.62512808049e-224|749.73828125	carboxylase	0VB7S@meNOG,12N20@opiNOG,COG4770@NOG,KOG0238@euNOG	2.6e-172	568.8	euk	MCCC1		SAMEA2619766_675_6	6085.XP_002162620	meNOG[21]	SAMEA2619766_675	Animals		Eukaryotes
	E		K01687,K13875	0BK35|1.33033374116e-245|818.730407715	Dihydroxy-acid dehydratase	05C01@bactNOG,0BK35@bproNOG,16PQJ@proNOG,COG0129@NOG	1.7999999999999993e-211	690.9	bact		proNOG	SAMEA2619766_6745_11	640511.BC1002_5935	bactNOG[38]	SAMEA2619766_6745	Bacteria	Proteobacteria	diderm
	L		K03654	0WK2P|1.77869985389e-172|576.843933105	ATP-dependent DNA helicase RecQ	0KRD8@eurNOG,0WK2P@methaNOG,COG0514@NOG,arCOG00560@arNOG	1.6999999999999994e-142	464.8	arch	RECQ		SAMEA2619766_6195_1	679901.Mzhil_0873	arNOG[11]	SAMEA2619766_6195	Archaea		Archaea
	S			05VPA|0.0|1287.11853027		05VPA@bactNOG,0QNMQ@gproNOG,0XNNJ@NOG,173KU@proNOG	5.099999999999996e-296	975.7	bact		proNOG	SAMEA2619766_58_59	247634.GPB2148_2738	bactNOG[38]	SAMEA2619766_58	Bacteria	Proteobacteria	diderm
	I		K01961,K01965,K01968,K13777	08EZK|8.81584211918e-264|879.879943848	carboxylase	02DR7@aproNOG,08EZK@bactNOG,171CK@proNOG,COG4770@NOG	8.899999999999996e-209	686.0	bact	PCCA	proNOG	SAMEA2619766_4779_10	861208.AGROH133_11875	bactNOG[38]	SAMEA2619766_4779	Bacteria	Proteobacteria	diderm
	F	GO:0000166,GO:0003674,GO:0003824,GO:0004854,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005856,GO:0005875,GO:0006082,GO:0006139,GO:0006144,GO:0006145,GO:0006206,GO:0006520,GO:0006525,GO:0006568,GO:0006576,GO:0006586,GO:0006629,GO:0006644,GO:0006650,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0009056,GO:0009064,GO:0009072,GO:0009112,GO:0009115,GO:0009308,GO:0009987,GO:0010259,GO:0015630,GO:0016491,GO:0016725,GO:0016726,GO:0019439,GO:0019637,GO:0019752,GO:0032501,GO:0032502,GO:0032991,GO:0034641,GO:0036094,GO:0042430,GO:0042579,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043234,GO:0043436,GO:0043473,GO:0043546,GO:0044106,GO:0044237,GO:0044238,GO:0044248,GO:0044255,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044767,GO:0046110,GO:0046113,GO:0046483,GO:0046486,GO:0046700,GO:0048037,GO:0048066,GO:0048069,GO:0048072,GO:0050660,GO:0050662,GO:0051536,GO:0051537,GO:0051540,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:0072523,GO:0072527,GO:0097159,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605	K00106	09X8X|1.4131394531e-248|829.846069336	aldehyde oxidase	035S7@artNOG,09X8X@biNOG,0IN0I@euNOG,0SQGV@inNOG,0TB2R@lepNOG,0V8S8@meNOG,12QCG@opiNOG,COG4630@NOG,COG4631@NOG,KOG0430@euNOG	0.0	1415.9	euk	RY		SAMEA2619766_31_18	34740.HMEL011575-PA	artNOG[6]	SAMEA2619766_31	Arthropoda		Eukaryotes
	S			05CSB|3.98792463063e-71|242.004150391	rhodopsin	05CSB@bactNOG,11G9N@NOG,1782J@proNOG	1.7999999999999998e-79	258.7	bact		proNOG	SAMEA2619766_28677_3	338187.VIBHAR_02160	bactNOG[38]	SAMEA2619766_28677	Bacteria	Proteobacteria	diderm
	I		K06443	05E6U|1.26452697797e-114|385.825653076	lycopene beta and epsilon cyclase	05E6U@bactNOG,09BC0@bctoNOG,0FWRN@cytNOG,0XQR9@NOG	1.2999999999999999e-73	240.4	bact	CRTY	bctoNOG;cytNOG	SAMEA2619766_2573_8	880070.Cycma_1789	bactNOG[38]	SAMEA2619766_2573	Bacteria		Unclassified_Bact
	E, I	GO:0003674,GO:0003824,GO:0004485,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005759,GO:0006082,GO:0006520,GO:0006551,GO:0006552,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009081,GO:0009083,GO:0009374,GO:0009987,GO:0016020,GO:0016054,GO:0016421,GO:0016874,GO:0016885,GO:0019752,GO:0019842,GO:0019866,GO:0031090,GO:0031406,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032787,GO:0033218,GO:0033293,GO:0034641,GO:0036094,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044710,GO:0044712,GO:0046395,GO:0046483,GO:0051186,GO:0070013,GO:0071704,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1901681	K01968	KOG0238|6.22117597295e-260|869.673461914	carboxylase	0VB7S@meNOG,12N20@opiNOG,COG4770@NOG,KOG0238@euNOG	2.599999999999999e-206	681.5	euk	MCCC1		SAMEA2619766_249_52	6085.XP_002162620	meNOG[21]	SAMEA2619766_249	Animals		Eukaryotes
	J		K07146	05C72|2.9762997868e-86|293.098205566	UPF0176 protein	05C72@bactNOG,09BHB@bctoNOG,0FV01@cytNOG,COG1054@NOG	3.999999999999999e-105	346.9	bact	YCEA	bctoNOG;cytNOG	SAMEA2619766_24392_2	388413.ALPR1_03445	bactNOG[38]	SAMEA2619766_24392	Bacteria		Unclassified_Bact
	K	GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030312,GO:0032774,GO:0034062,GO:0034641,GO:0034654,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901362,GO:1901576	K03046,K13797	05D27|0.0|2176.98364258	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	05D27@bactNOG,0QJIU@gproNOG,16PNC@proNOG,COG0086@NOG	0.0	1756.2	bact	RPOC	proNOG	SAMEA2619766_218_21	637389.ACA_0239	bactNOG[38]	SAMEA2619766_218	Bacteria	Proteobacteria	diderm
	U	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006605,GO:0006612,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015031,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019439,GO:0019637,GO:0019693,GO:0030312,GO:0030529,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0040007,GO:0042278,GO:0042454,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0045184,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046903,GO:0046907,GO:0048500,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055086,GO:0070727,GO:0071702,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0097159,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K03106	05CB9|5.89966379983e-218|728.610351562	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY	05CB9@bactNOG,099NM@bctoNOG,0P7TT@flaNOG,COG0541@NOG	3.5999999999999985e-209	691.1	bact	FFH	bctoNOG;flaNOG	SAMEA2619766_1787_18	391587.KAOT1_11852	bactNOG[38]	SAMEA2619766_1787	Bacteria		Unclassified_Bact
	L	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006265,GO:0006351,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0007059,GO:0008094,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009330,GO:0009987,GO:0010467,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0035639,GO:0036094,GO:0042221,GO:0042278,GO:0042454,GO:0042493,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0050896,GO:0055086,GO:0061505,GO:0071103,GO:0071704,GO:0072521,GO:0072523,GO:0090304,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658	K02470	01S13|0.0|1351.97241211	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	01S13@aproNOG,05C7D@bactNOG,16Q2I@proNOG,COG0187@NOG	0.0	1167.0	bact	GYRB	proNOG	SAMEA2619766_139_27	402881.Plav_0007	bactNOG[38]	SAMEA2619766_139	Bacteria	Proteobacteria	diderm
DXPS	H		K01662	05C2V|1.11579845203e-245|820.89666748	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)	05C2V@bactNOG,0NDCD@firmNOG,0X1ZX@negNOG,COG1154@NOG	5.799999999999997e-190	628.8	bact	DXS	firmNOG;negNOG	SAMEA2619678_834915_64	401526.TcarDRAFT_1596	bactNOG[38]	SAMEA2619678_834915	Bacteria		Unclassified_Bact
	P	GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944	K02014	0P83P|0.0|1142.81665039	TonB-dependent Receptor Plug	05C27@bactNOG,099KP@bctoNOG,0P83P@flaNOG,0XNNV@NOG	0.0	1484.9	bact		flaNOG	SAMEA2619678_815378_10	867900.Celly_2138	bactNOG[38]	SAMEA2619678_815378	Bacteria	Flavobacteriia	diderm
	J	GO:0003674,GO:0003824,GO:0004812,GO:0004823,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006429,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0016876,GO:0019538,GO:0019752,GO:0030312,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901564,GO:1901576	K01869	05C8T|0.0|1215.23461914	Leucyl-tRNA synthetase	05C8T@bactNOG,099J3@bctoNOG,0P7B4@flaNOG,COG0495@NOG	0.0	1300.9	bact	LEUS	bctoNOG;flaNOG	SAMEA2619678_752514_44	755732.Fluta_1747	bactNOG[38]	SAMEA2619678_752514	Bacteria		Unclassified_Bact
DXPS	H	GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006725,GO:0006732,GO:0006733,GO:0006743,GO:0006744,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008614,GO:0008615,GO:0008654,GO:0008661,GO:0009058,GO:0009108,GO:0009110,GO:0009228,GO:0009240,GO:0009987,GO:0016740,GO:0016744,GO:0018130,GO:0019288,GO:0019438,GO:0019637,GO:0019682,GO:0019752,GO:0019842,GO:0030145,GO:0030975,GO:0030976,GO:0032787,GO:0034641,GO:0036094,GO:0040007,GO:0042180,GO:0042181,GO:0042364,GO:0042375,GO:0042723,GO:0042724,GO:0042816,GO:0042819,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0045426,GO:0046483,GO:0046490,GO:0046872,GO:0046914,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0071704,GO:0072524,GO:0072525,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:1901135,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663,GO:1901681	K01662	05C2V|1.13515343866e-244|817.442260742	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)	00D2T@actNOG,05C2V@bactNOG,COG1154@NOG	8.799999999999997e-192	635.2	bact	DXS	actNOG	SAMEA2619678_705728_31	525909.Afer_0479	bactNOG[38]	SAMEA2619678_705728	Bacteria	Actinobacteria	monoderm
	I		K06443	05E6U|2.2370864594e-103|348.757751465	lycopene beta and epsilon cyclase	05E6U@bactNOG,09BC0@bctoNOG,0P8U4@flaNOG,0XQR9@NOG	2.3999999999999996e-56	183.7	bact	CRTY	bctoNOG;flaNOG	SAMEA2619678_663006_5	983548.Krodi_1029	bactNOG[38]	SAMEA2619678_663006	Bacteria		Unclassified_Bact
	E	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006547,GO:0006548,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009987,GO:0016054,GO:0016153,GO:0016829,GO:0016835,GO:0016836,GO:0019439,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044712,GO:0046395,GO:0046483,GO:0046700,GO:0052803,GO:0052805,GO:0071704,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606	K01712	0IEG2|6.91741805372e-262|873.674255371	urocanate hydratase 1	09UGJ@biNOG,0IEG2@euNOG,0V5FW@meNOG,13F7S@opiNOG,COG2987@NOG	0.0	1026.2	euk	UROC1		SAMEA2619678_621622_5	31234.CRE25953	meNOG[21]	SAMEA2619678_621622	Animals		Eukaryotes
	J	GO:0000166,GO:0000175,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0004654,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009056,GO:0009057,GO:0009987,GO:0016020,GO:0016070,GO:0016071,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0017076,GO:0019001,GO:0019439,GO:0030312,GO:0030551,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034655,GO:0035438,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046700,GO:0071704,GO:0071944,GO:0090304,GO:0090305,GO:0097159,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901575	K00962	05C62|1.32590528829e-308|1028.94238281	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity)	05C62@bactNOG,COG1185@NOG	9.599999999999996e-218	721.8	bact	PNP	bactNOG	SAMEA2619678_398018_16	379066.GAU_1764	bactNOG[38]	SAMEA2619678_398018	Bacteria	Bacteria	Unclassified_Bact
	K	GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030312,GO:0032774,GO:0034062,GO:0034641,GO:0034654,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360,GO:1901362,GO:1901576	K03046,K13797	05D27|0.0|2306.69702148	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	01QEV@aproNOG,05D27@bactNOG,16PNC@proNOG,COG0086@NOG	0.0	2343.2	bact	RPOC	proNOG	SAMEA2619678_2729700_85	402881.Plav_2730	bactNOG[38]	SAMEA2619678_2729700	Bacteria	Proteobacteria	diderm
