#orf	Prob	Evalue	Pvalue	Score	SS	Cols	Query_HMM	Template_HMM	Identity	Similarity	Sum_probs	Template_Neff	subject_header
SAMEA2622690_1780700_5	100.0	2.1E-42	4.1E-47	302.6	0.0	230	27-256	4-233 (235)	59	1.122	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623079_383332_3	100.0	1E-41	2E-46	305.8	0.0	221	52-289	3-229 (229)	24	0.326	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622097_328144_2	97.2	1.5E-06	2.9E-11	78.4	0.0	148	191-338	45-200 (258)	14	0.239	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621859_1270631_2	100.0	5.1E-36	9.9E-41	256.4	0.0	204	9-223	3-221 (229)	19	0.276	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622696_1585831_5	100.0	6.9E-44	1.3E-48	301.5	0.0	229	1-229	1-232 (235)	59	1.091	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620666_7377_6	100.0	1E-43	2E-48	302.5	0.0	234	1-235	1-235 (235)	41	0.865	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619766_4779_3	100.0	4.3E-43	8.2E-48	309.1	0.0	229	27-260	2-232 (243)	60	1.115	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2623426_1027111_7	98.3	8.4E-10	1.6E-14	99.1	0.0	181	66-249	45-235 (258)	12	0.193	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622716_1030288_9	100.0	2.9E-41	5.5E-46	289.6	0.0	227	6-243	3-230 (235)	42	0.809	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621551_2064986_4	100.0	4.3E-42	8.4E-47	302.0	0.0	232	16-253	1-242 (244)	16	0.236	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620666_14551_7	100.0	3.8E-41	7.4E-46	295.2	0.0	230	27-261	4-233 (235)	49	0.989	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623079_983029_8	100.0	2.4E-34	4.7E-39	248.1	0.0	205	4-231	2-218 (220)	15	0.200	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2620979_195288_4	100.0	3.6E-38	7E-43	263.6	0.0	203	4-215	10-227 (229)	22	0.343	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2621155_2236281_4	100.0	4.7E-42	9.1E-47	300.6	0.0	230	27-257	4-233 (235)	59	1.117	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620217_233994_8	100.0	2.7E-43	5.2E-48	305.6	0.0	228	22-255	2-229 (235)	63	1.071	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622821_373_21	100.0	2.8E-36	5.4E-41	263.0	0.0	198	4-227	16-239 (244)	19	0.351	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2619667_33585_3	100.0	7.5E-43	1.4E-47	305.1	0.0	230	28-257	4-233 (235)	58	1.094	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623919_2812720_6	100.0	8.9E-41	1.7E-45	280.4	0.0	216	3-218	5-227 (235)	40	0.792	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622823_939848_22	98.5	8E-11	1.5E-15	106.0	0.0	178	69-251	45-235 (258)	17	0.217	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619678_815378_49	100.0	1.3E-41	2.5E-46	294.4	0.0	217	11-234	10-235 (244)	19	0.223	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622695_1121619_3	98.2	1.7E-09	3.3E-14	99.0	0.0	190	139-366	45-244 (258)	13	0.155	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620666_5055_4	100.0	7.6E-51	1.5E-55	377.2	0.0	273	20-294	2-274 (275)	32	0.624	0.0	7.900	5G28_A CHLORIDE PUMPING RHODOPSIN; SIGNALING PROTEIN; HET: RET, OLA; 1.57A {NONLABENS MARINUS S1-08}
SAMEA2622478_1847582_6	100.0	1.4E-43	2.7E-48	302.9	0.0	228	12-239	3-230 (235)	52	1.033	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619531_2379000_9	99.9	1E-31	2E-36	230.5	0.0	193	8-215	4-221 (227)	20	0.396	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2619667_8827_6	100.0	7.2E-42	1.4E-46	286.4	0.0	221	1-224	1-226 (235)	14	0.258	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2619531_1795340_7	100.0	9.7E-43	1.9E-47	301.5	0.0	228	20-247	2-229 (235)	58	1.128	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623116_321478_11	100.0	1.5E-40	3E-45	284.2	0.0	222	2-223	3-231 (235)	47	0.921	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619678_2729700_18	100.0	2.3E-44	4.4E-49	303.9	0.0	230	1-230	1-230 (235)	64	1.190	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623116_3132600_6	97.9	1.8E-08	3.4E-13	91.7	0.0	170	187-374	70-243 (258)	13	0.165	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621037_1454367_1	100.0	3.8E-41	7.3E-46	300.5	0.0	241	10-257	23-275 (288)	18	0.352	0.0	7.600	4XTL_A KR2; ion pump, membrane protein; HET: LYR, GOL, LFA; 1.45A {Dokdonia eikasta}
SAMEA2623116_1528666_34	100.0	2.3E-42	4.4E-47	294.0	0.0	230	5-237	3-233 (235)	57	1.081	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619974_26253_4	100.0	2.1E-41	4E-46	295.3	0.0	228	27-254	4-231 (235)	52	1.065	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591108_1607884_15	100.0	5.5E-45	1.1E-49	331.6	0.0	257	19-276	8-266 (275)	27	0.455	0.0	7.900	5FJG_A CHLORIDE PUMPING RHODOPSIN; TRANSPORT PROTEIN; HET: OLA, ANR; 2.0A {NONLABENS MARINUS S1-08}
SAMEA2622759_2927040_2	100.0	6E-43	1.1E-47	300.1	0.0	232	1-232	1-235 (235)	44	0.783	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621839_1204447_22	98.3	1.3E-09	2.4E-14	101.3	0.0	203	187-424	45-252 (258)	16	0.162	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621075_2553554_7	100.0	4.7E-42	9E-47	301.2	0.0	230	29-259	2-235 (235)	53	0.944	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623627_1806757_7	100.0	6E-42	1.2E-46	298.9	0.0	228	27-255	4-232 (235)	56	1.110	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591122_1007180_16	100.0	1.1E-39	2.1E-44	287.0	0.0	221	32-261	8-229 (235)	42	0.804	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619970_2376903_2	100.0	1.2E-41	2.3E-46	297.3	0.0	230	25-254	2-231 (235)	51	1.051	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623446_312823_1	100.0	1.2E-43	2.3E-48	296.8	0.0	224	3-229	2-226 (235)	16	0.247	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2621203_1345481_9	99.9	4.1E-33	7.9E-38	242.5	0.0	201	1-228	1-228 (229)	18	0.277	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2621259_292899_5	100.0	2.9E-37	5.6E-42	269.9	0.0	199	32-236	21-238 (244)	21	0.253	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621487_818947_36	100.0	7E-41	1.3E-45	291.9	0.0	224	13-249	3-229 (235)	42	0.763	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622690_975144_3	100.0	1.2E-42	2.2E-47	294.0	0.0	223	6-229	5-229 (235)	52	1.003	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621812_1025049_31	98.3	1E-09	2E-14	100.2	0.0	176	110-301	45-235 (258)	15	0.214	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619782_256_42	99.9	1.9E-32	3.7E-37	239.5	0.0	202	1-219	1-223 (243)	21	0.355	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2620542_1573674_16	100.0	4E-41	7.7E-46	301.7	0.0	223	43-288	3-229 (229)	22	0.305	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2621260_956261_16	100.0	9.1E-40	1.7E-44	293.4	0.0	228	7-274	8-238 (244)	19	0.245	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2619857_1137559_10	100.0	8.6E-42	1.6E-46	293.2	0.0	225	10-248	4-228 (229)	20	0.251	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2619857_390432_7	100.0	3E-43	5.9E-48	298.3	0.0	230	2-231	3-232 (235)	57	1.042	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620980_1429918_4	100.0	3.9E-43	7.6E-48	298.1	0.0	226	6-231	5-230 (235)	55	1.036	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622796_2160113_1	100.0	3.1E-42	5.9E-47	292.7	0.0	224	10-234	6-231 (235)	59	1.031	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619678_2366871_4	100.0	2.3E-44	4.5E-49	303.9	0.0	230	1-230	1-230 (235)	67	1.212	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621254_485619_10	99.9	4.2E-30	8.2E-35	223.5	0.0	196	3-228	1-222 (227)	17	0.237	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2620979_1254307_2	100.0	2E-34	3.8E-39	250.7	0.0	208	24-241	3-228 (229)	21	0.333	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2620666_2911_22	100.0	3.1E-51	6E-56	374.4	0.0	268	9-278	3-270 (275)	40	0.639	0.0	7.900	5G28_A CHLORIDE PUMPING RHODOPSIN; SIGNALING PROTEIN; HET: RET, OLA; 1.57A {NONLABENS MARINUS S1-08}
SAMEA2620979_1030259_5	100.0	3.1E-35	6E-40	254.9	0.0	199	6-227	7-227 (229)	20	0.311	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622316_1640093_29	100.0	1.8E-40	3.5E-45	282.9	0.0	206	3-218	15-234 (244)	21	0.310	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2591108_1084475_14	100.0	6.7E-43	1.3E-47	297.5	0.0	232	2-233	3-234 (235)	54	1.033	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621013_409468_1	100.0	3.3E-43	6.3E-48	301.3	0.0	232	1-238	1-234 (235)	45	0.865	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622074_2349373_4	100.0	7.2E-42	1.4E-46	286.1	0.0	216	2-217	3-225 (235)	50	0.947	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623275_1656698_3	98.4	2.3E-10	4.4E-15	103.3	0.0	183	128-327	45-235 (258)	15	0.227	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622219_2273633_9	97.7	1.1E-07	2.1E-12	86.3	0.0	178	103-295	43-227 (258)	8	0.104	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621254_1703435_2	99.9	3.5E-32	6.7E-37	240.0	0.0	200	9-227	24-245 (262)	21	0.250	0.0	7.800	1M0K_A BACTERIORHODOPSIN; ION PUMP, MEMBRANE PROTEIN, RETINAL; HET: LI1, SQU, RET; 1.43A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2620979_686649_4	100.0	1.7E-42	3.4E-47	302.8	0.0	229	27-255	4-232 (235)	59	1.114	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621259_2156440_2	100.0	1.9E-37	3.6E-42	270.0	0.0	215	6-233	6-241 (244)	19	0.236	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620000_576241_7	99.9	6.9E-30	1.3E-34	225.6	0.0	185	19-247	10-220 (226)	19	0.262	0.0	8.300	4Y9H_A human heart fatty acid binding; bacteriorhodopsin, complex, membrane protein, Cell; HET: D12, R16, D10, RET; 1.43A {Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1)}
SAMEA2619667_23323_2	100.0	1.1E-42	2E-47	295.5	0.0	225	6-231	4-229 (235)	67	1.179	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622764_62277_1	100.0	3.5E-42	6.7E-47	290.4	0.0	218	3-226	14-241 (244)	20	0.292	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2619766_6104_2	100.0	5.9E-34	1.1E-38	242.5	0.0	202	1-220	1-227 (229)	23	0.396	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2619667_26627_3	100.0	5.6E-42	1.1E-46	298.7	0.0	224	29-253	4-229 (235)	63	1.069	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621132_1133525_6	99.9	6.4E-30	1.2E-34	221.4	0.0	203	5-234	2-216 (220)	17	0.135	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2620828_1963811_4	100.0	5.5E-42	1.1E-46	294.4	0.0	230	1-232	1-232 (235)	61	1.107	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622658_1401682_6	98.4	2.8E-10	5.4E-15	103.7	0.0	194	124-322	45-244 (258)	12	0.080	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621045_1488273_4	100.0	2.9E-41	5.6E-46	301.8	0.0	230	34-276	9-240 (244)	22	0.274	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620339_2134054_13	99.9	6.5E-31	1.3E-35	231.9	0.0	184	19-246	11-221 (227)	21	0.268	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2620542_2142610_9	100.0	4.5E-36	8.6E-41	265.5	0.0	208	4-235	3-242 (253)	15	0.234	0.0	7.800	1E12_A HALORHODOPSIN; ION PUMP, CHLORIDE PUMP, MEMBRANE; HET: OLC, RET, PLM; 1.8A {HALOBACTERIUM SALINARUM} SCOP: f.13.1.1
SAMEA2619782_2909_10	97.8	6.8E-08	1.3E-12	86.4	0.0	157	116-279	75-247 (258)	13	0.153	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619766_9993_9	100.0	1.8E-44	3.4E-49	308.3	0.0	226	2-248	3-228 (229)	19	0.226	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2620979_203537_13	100.0	6.6E-38	1.3E-42	268.1	0.0	214	4-223	10-241 (244)	19	0.241	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2623116_1885203_34	97.8	3.5E-08	6.8E-13	88.9	0.0	174	60-237	45-235 (258)	9	0.026	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619782_13961_6	98.4	5.5E-10	1.1E-14	101.0	0.0	183	75-262	45-235 (258)	16	0.259	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619548_2793914_9	100.0	1.6E-40	3E-45	285.8	0.0	220	11-237	2-224 (235)	39	0.789	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621076_1879790_7	100.0	9.1E-40	1.8E-44	274.6	0.0	215	3-219	7-230 (243)	53	0.962	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2620979_1867738_2	100.0	3.8E-39	7.3E-44	282.4	0.0	209	25-239	10-239 (244)	20	0.244	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620021_2398382_47	100.0	3.1E-42	6.1E-47	300.5	0.0	225	30-254	4-228 (235)	65	1.180	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622376_1542557_10	98.5	1E-10	1.9E-15	109.3	0.0	202	117-367	45-254 (258)	12	0.120	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619667_4321_1	100.0	1.4E-44	2.8E-49	307.4	0.0	233	1-233	1-233 (235)	61	1.132	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623794_3320667_8	100.0	2.3E-51	4.4E-56	380.3	0.0	272	21-294	3-274 (275)	31	0.616	0.0	7.900	5G28_A CHLORIDE PUMPING RHODOPSIN; SIGNALING PROTEIN; HET: RET, OLA; 1.57A {NONLABENS MARINUS S1-08}
SAMEA2622715_2166039_8	100.0	4E-44	7.6E-49	318.3	0.0	234	12-246	18-276 (288)	25	0.410	0.0	7.600	4XTN_A KR2; ion pump, membrane protein; HET: LFA, MPG, LYR, NA; 2.2A {Dokdonia eikasta}
SAMEA2620979_1418061_2	100.0	2.1E-39	4E-44	277.4	0.0	215	2-230	14-242 (244)	17	0.247	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620230_2107051_4	99.9	1.3E-31	2.4E-36	237.2	0.0	191	20-257	6-222 (227)	16	0.212	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2621132_3311040_29	99.9	3.8E-32	7.2E-37	242.6	0.0	200	2-224	32-272 (291)	16	0.258	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2622694_5837_6	98.4	3.5E-10	6.8E-15	103.0	0.0	233	19-301	17-253 (258)	14	0.090	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620979_483730_21	98.4	4.8E-10	9.2E-15	104.4	0.0	193	233-447	43-243 (258)	12	0.060	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620404_738237_4	100.0	3.4E-40	6.5E-45	297.6	0.0	228	22-258	9-269 (288)	20	0.397	0.0	7.600	4XTL_A KR2; ion pump, membrane protein; HET: LYR, GOL, LFA; 1.45A {Dokdonia eikasta}
SAMEA2623350_1460445_15	98.4	3.6E-10	6.9E-15	103.9	0.0	175	129-317	45-236 (258)	15	0.196	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2591122_1927317_4	100.0	4.7E-43	9E-48	306.2	0.0	226	29-254	4-229 (235)	67	1.237	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623808_2855069_2	98.4	3.2E-10	6.2E-15	102.2	0.0	188	72-259	46-249 (258)	12	0.072	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2623079_3255696_4	100.0	2.2E-42	4.3E-47	302.2	0.0	224	30-255	4-229 (235)	54	1.022	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623135_17927_9	100.0	1.6E-43	3.1E-48	299.5	0.0	227	1-227	1-230 (235)	69	1.171	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620979_1128517_3	97.5	2.8E-07	5.4E-12	83.3	0.0	168	185-395	73-247 (258)	11	0.130	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619399_1376213_11	100.0	2.8E-40	5.3E-45	287.0	0.0	219	11-239	3-225 (243)	42	0.821	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
